fdc_id,description,Energy,gram_weight,Biotin,"Boron, B","Calcium, Ca","Carbohydrate, Total",Cholesterol,"Choline, total","Cobalt, Co","Copper, Cu","Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated","Fatty acids, total saturated","Fatty acids, total trans","Fiber, insoluble","Fiber, soluble","Fiber, total dietary","Folate, total","Iodine, I","Iron, Fe","Magnesium, Mg","Manganese, Mn","Molybdenum, Mo",Niacin,"Nickel, Ni",Pantothenic acid,"Phosphorus, P","Potassium, K",Protein,Riboflavin,"Selenium, Se","Sodium, Na",Starch,"Sugars, Total","Sulfur, S",Thiamin,Total lipid (fat),"Vitamin A, RAE",Vitamin B-12,Vitamin B-6,"Vitamin C, total ascorbic acid",Vitamin D (D2 + D3),Vitamin E,Vitamin K (Dihydrophylloquinone),Vitamin K (Menaquinone-4),Vitamin K (phylloquinone),"Zinc, Zn"
2346390,"Lettuce, leaf, red, raw",17.5315,100.0,0.0,0.0,42.59,3.260575,0.0,0.0,0.0,0.03773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4023,12.4,0.177,0.0,0.3288,0.0,0.0,24.4,321.4,0.883125,0.0,0.0,24.89,0.0,0.0,0.0,0.06075,0.1063,0.0,0.0,0.07413,9.343,0.0,0.0,0.0,0.0,73.2,0.3033
2346391,"Lettuce, leaf, green, raw",22.0463,100.0,0.0,0.0,39.84,4.06615,0.0,0.0,0.0,0.03984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3195,12.77,0.1559,0.0,0.375,0.0,0.0,26.55,277.1,1.09375,0.0,0.0,28.88,0.0,0.0,0.0,0.08225,0.1563,0.0,0.0,0.07088,15.15,0.0,0.0,0.0,0.0,118.5,0.3103
2346392,"Nuts, pine nuts, raw",688.614,100.0,12.9,0.0,8.736,18.5921,0.0,0.0,0.0,1.119,0.0,0.0,0.0,0.0,0.0,0.0,3.941,0.0,0.0,5.36,205.9,10.25,3.284,4.466,0.0,0.0,540.0,654.8,15.7039,0.0,0.0,0.0,0.0,0.0,0.0,0.6253,61.27,0.0,0.0,0.2546,0.0,0.0,0.0,0.0,0.0,3.2,5.713
2346393,"Nuts, almonds, whole, raw",625.75,100.0,57.01,0.0,253.6,20.03462,0.0,0.0,0.0,0.9104,31.314,11.18,3.785,0.0,0.0,0.0,10.78,0.0,0.0,3.741,257.6,2.149,45.28,3.77,0.0,0.0,502.9,732.8,21.45038,0.0,0.0,0.0,0.0,0.0,0.0,0.1605,51.09,0.0,0.0,0.1008,0.0,0.0,0.0,0.0,0.0,0.0,2.865
2346394,"Nuts, walnuts, English, halves, raw",729.556,100.0,17.28,0.0,88.26,10.9096,0.0,0.0,0.0,1.206,9.625,49.331,6.054,0.0,0.0,0.0,5.21,0.0,0.0,2.235,142.4,2.995,21.0,1.218,0.0,0.0,365.1,423.5,14.5644,0.0,0.0,0.0,0.0,0.0,0.0,0.23,69.74,0.0,0.0,0.6603,0.0,0.0,0.0,0.0,0.0,1.7,2.76
2346395,"Nuts, pecans, halves, raw",750.152,100.0,22.66,0.0,54.83,12.6993,0.0,0.0,0.0,0.9065,39.282,22.924,6.465,0.0,0.0,0.0,5.793,0.0,0.0,2.371,102.9,2.28,15.57,0.9463,0.0,0.0,252.7,360.3,9.9587,0.0,0.0,0.0,0.0,0.0,0.0,0.5476,73.28,0.0,0.0,0.1711,0.0,0.0,0.0,0.0,0.0,4.1,3.93
2346396,"Oats, whole grain, rolled, old fashioned",381.626,100.0,21.9,0.0,45.53,68.65755,0.0,0.0,0.0,0.4278,0.0,0.0,0.0,0.0,0.0,0.0,10.42,32.03,0.0,4.339,126.3,3.234,160.4,0.9931,0.0,0.0,387.3,350.1,13.49645,0.0,25.35,0.6675,53.81,0.0,0.0,0.4063,5.89,0.0,0.0,0.1346,0.0,0.0,0.0,0.0,0.0,0.0,2.744
2346397,"Oats, whole grain, steel cut",381.248,100.0,22.0,0.0,51.34,69.75082,0.0,0.0,0.0,0.4113,0.0,0.0,0.0,0.0,0.0,0.0,11.95,29.99,0.0,3.801,128.6,3.414,163.5,0.9263,0.0,0.0,417.3,375.9,12.51118,0.0,29.04,0.3113,54.9,0.0,0.0,0.3338,5.8,0.0,0.0,0.1189,0.0,0.0,0.0,0.0,0.0,0.0,2.843
2346398,"Pineapple, raw",60.1113,100.0,0.0,0.0,12.5,14.0914625,0.0,0.0,0.0,0.09545,0.0,0.0,0.0,0.0,0.0,0.0,0.9346,0.0,0.0,0.054,13.38,0.866,0.0,0.2275,0.0,0.0,5.42,137.1,0.4609375,0.0,0.0,0.0,0.0,11.42,0.0,0.06375,0.2113,0.0,0.0,0.1101,58.61,0.0,0.0,0.0,0.0,0.0,0.1067
2346399,"Cherries, sweet, dark red, raw",70.5425,100.0,0.0,0.0,12.26,16.163125,0.0,0.0,0.0,0.06925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1054,12.11,0.07336,0.97,0.0,0.0,0.0,23.25,229.6,1.039375,0.0,0.0,0.0,0.0,13.872,0.0,0.0,0.1925,0.0,0.0,0.04888,10.39,0.0,0.0,0.0,0.0,0.0,0.06446
2346400,"Beans, snap, green, raw",39.9998,100.0,0.0,0.0,40.05,7.41245,0.0,0.0,0.0,0.09829,0.0,0.0,0.0,0.0,0.0,0.0,3.011,0.0,0.0,0.6516,28.21,0.3324,41.63,0.7313,0.0,0.0,41.15,290.4,1.96875,0.0,0.0,0.0,0.0,2.3338,0.0,0.06,0.275,0.0,0.0,0.121,0.0,0.0,0.0,0.0,0.0,43.9,0.3498
2346401,"Potatoes, russet, without skin, raw",83.42,100.0,0.0,0.0,7.801,17.77125,0.0,0.0,0.0,0.09118,0.0,0.0,0.0,0.0,0.0,0.0,14.93,0.0,0.0,0.3835,25.64,0.152,4.869,1.501,0.0,0.0,55.19,450.1,2.27375,0.0,0.0,2.743,0.0,0.5263,0.0,0.07375,0.36,0.0,0.0,0.1573,10.9,0.0,0.0,0.0,0.0,1.5,0.3781
2346402,"Potatoes, red, without skin, raw",75.5575,100.0,0.0,0.0,5.128,16.27,0.0,0.0,0.0,0.09124,0.0,0.0,0.0,0.0,0.0,0.0,13.79,0.0,0.0,0.3911,23.56,0.1648,7.408,1.481,0.0,0.0,55.65,472.0,2.0625,0.0,0.0,2.856,0.0,0.6639,0.0,0.06625,0.2475,0.0,0.0,0.1441,21.29,0.0,0.0,0.0,0.0,1.1,0.3923
2346403,"Potatoes, gold, without skin, raw",73.4738,100.0,0.0,0.0,5.943,15.9624,0.0,0.0,0.0,0.1304,0.0,0.0,0.0,0.0,0.0,0.0,13.83,0.0,0.0,0.3728,22.3,0.1598,7.836,1.585,0.0,0.0,56.95,445.8,1.8125,0.0,0.0,2.238,0.0,0.6451,0.0,0.05125,0.2638,0.0,0.0,0.145,23.3,0.0,0.0,0.0,0.0,0.8,0.3739
2346404,"Sweet potatoes, orange flesh, without skin, raw",78.999,100.0,0.0,0.0,22.33,17.327875,0.0,0.0,0.0,0.1866,0.0,0.0,0.0,0.0,0.0,0.0,4.441,0.0,0.0,0.398,19.14,0.4174,0.0,0.4325,0.0,0.0,36.73,486.4,1.578125,0.0,0.0,0.0,0.0,6.0588,0.0,0.045,0.375,0.0,0.0,0.1241,14.84,0.0,0.0,0.0,0.0,0.2,0.3374
2346405,"Celery, raw",16.6973,100.0,0.0,0.0,46.28,3.3165125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.93,0.076,0.0,0.0,0.0,0.0,21.6,265.2,0.4921875,0.0,0.0,97.21,0.0,0.0,0.0,0.0,0.1625,0.0,0.0,0.05175,0.0,0.0,0.0,0.0,0.0,0.0,0.0929
2346406,"Cucumber, with peel, raw",15.9075,100.0,0.9625,0.0,16.34,2.9525,0.0,0.0,0.0,0.06299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.11,0.08488,3.723,0.0,0.0,0.0,23.23,169.6,0.625,0.0,0.0,1.515,0.0,0.0,0.0,0.0,0.1775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.204
2346407,"Cabbage, green, raw",31.4275,100.0,0.0,0.0,41.84,6.38375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06625,13.86,0.2479,6.943,0.0,0.0,0.0,26.93,207.1,0.96125,0.0,0.0,16.1,0.0,0.0,0.0,0.0,0.2275,0.0,0.0,0.1384,40.34,0.0,0.0,0.0,0.0,59.4,0.2112
2346408,"Cabbage, red, raw",34.0538,100.0,0.0,0.0,30.99,6.7899,0.0,0.0,0.0,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,0.3094,6.009,0.0,0.0,0.0,35.84,269.1,1.2425,0.0,0.0,11.72,0.0,0.0,0.0,0.0,0.2138,0.0,0.0,0.1789,53.88,0.0,0.0,0.0,0.0,32.3,0.245
