description," Ergosta-5,7-dienol"," Ergosta-7,22-dienol",10-Formyl folic acid (10HCOFA),25-hydroxycholecalciferol,5-Formyltetrahydrofolic acid (5-HCOH4,5-methyl tetrahydrofolate (5-MTHF),Alanine,Arginine,Ash,Aspartic acid,Beta-glucan,Beta-sitostanol,Beta-sitosterol,Betaine,Biotin,"Boron, B",Brassicasterol,"Calcium, Ca",Campestanol,Campesterol,"Carbohydrate, by difference","Carbohydrate, by summation","Carotene, alpha","Carotene, beta","Carotene, gamma",Cholesterol,"Choline, free","Choline, from glycerophosphocholine","Choline, from phosphocholine","Choline, from phosphotidyl choline","Choline, from sphingomyelin","Choline, total",Citric acid,"Cobalt, Co","Copper, Cu","Cryptoxanthin, alpha","Cryptoxanthin, beta",Cysteine,Cystine,Daidzein,Daidzin,Delta-5-avenasterol,Delta-7-Stigmastenol,Energy,Energy (Atwater General Factors),Energy (Atwater Specific Factors),Ergosta-7-enol,Ergosterol,Ergothioneine,"Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated","Fatty acids, total saturated","Fatty acids, total trans","Fatty acids, total trans-dienoic","Fatty acids, total trans-monoenoic","Fatty acids, total trans-polyenoic","Fiber, insoluble","Fiber, soluble","Fiber, total dietary","Folate, total",Fructose,Galactose,Genistein,Genistin,Glucose,Glutamic acid,Glutathione,Glycine,Glycitin,High Molecular Weight Dietary Fiber (HMWDF),Histidine,Hydroxyproline,"Iodine, I","Iron, Fe",Isoleucine,Lactose,Leucine,Low Molecular Weight Dietary Fiber (LMWDF),Lutein,Lutein + zeaxanthin,Lycopene,Lysine,MUFA 12:1,MUFA 14:1 c,MUFA 15:1,MUFA 16:1 c,MUFA 17:1,MUFA 17:1 c,MUFA 18:1,MUFA 18:1 c,MUFA 20:1,MUFA 20:1 c,MUFA 22:1,MUFA 22:1 c,MUFA 22:1 n-11,MUFA 22:1 n-9,MUFA 24:1 c,"Magnesium, Mg",Malic acid,Maltose,"Manganese, Mn",Methionine,"Molybdenum, Mo",Niacin,"Nickel, Ni",Nitrogen,Oxalic acid,PUFA 18:2,PUFA 18:2 CLAs,PUFA 18:2 c,"PUFA 18:2 n-6 c,c",PUFA 18:3,PUFA 18:3 c,"PUFA 18:3 n-3 c,c,c (ALA)","PUFA 18:3 n-6 c,c,c",PUFA 18:3i,PUFA 18:4,PUFA 20:2 c,"PUFA 20:2 n-6 c,c",PUFA 20:3,PUFA 20:3 c,PUFA 20:3 n-3,PUFA 20:3 n-6,PUFA 20:3 n-9,PUFA 20:4,PUFA 20:4c,PUFA 20:5 n-3 (EPA),PUFA 20:5c,PUFA 22:2,PUFA 22:3,PUFA 22:4,PUFA 22:5 c,PUFA 22:5 n-3 (DPA),PUFA 22:6 c,PUFA 22:6 n-3 (DHA),Pantothenic acid,Phenylalanine,"Phosphorus, P",Phytoene,Phytofluene,"Phytosterols, other","Potassium, K",Proline,Protein,Pyruvic acid,Quinic acid,Raffinose,Retinol,Riboflavin,SFA 10:0,SFA 11:0,SFA 12:0,SFA 14:0,SFA 15:0,SFA 16:0,SFA 17:0,SFA 18:0,SFA 20:0,SFA 21:0,SFA 22:0,SFA 23:0,SFA 24:0,SFA 4:0,SFA 5:0,SFA 6:0,SFA 7:0,SFA 8:0,SFA 9:0,"Selenium, Se",Serine,"Sodium, Na",Specific Gravity,Stachyose,Starch,Stigmastadiene,Stigmasterol,Sucrose,"Sugars, Total","Sulfur, S",TFA 14:1 t,TFA 16:1 t,TFA 18:1 t,TFA 18:2 t,TFA 18:2 t not further defined,TFA 18:3 t,TFA 20:1 t,TFA 22:1 t,Thiamin,Threonine,"Tocopherol, beta","Tocopherol, delta","Tocopherol, gamma","Tocotrienol, alpha","Tocotrienol, beta","Tocotrienol, delta","Tocotrienol, gamma",Total Sugars,Total dietary fiber (AOAC 2011.25),Total fat (NLEA),Total lipid (fat),Tryptophan,Tyrosine,Valine,Verbascose,"Vitamin A, RAE",Vitamin B-12,Vitamin B-6,"Vitamin C, total ascorbic acid",Vitamin D (D2 + D3),"Vitamin D (D2 + D3), International Units",Vitamin D2 (ergocalciferol),Vitamin D3 (cholecalciferol),Vitamin D4,Vitamin E (alpha-tocopherol),Vitamin K (Dihydrophylloquinone),Vitamin K (Menaquinone-4),Vitamin K (phylloquinone),Water,Zeaxanthin,"Zinc, Zn",cis-Lutein/Zeaxanthin,cis-Lycopene,cis-beta-Carotene,trans-Lycopene,trans-beta-Carotene
"APPLES, GALA",,,,,,,,,1.26,,,,,,,,,6.0,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,2.7,0.0,8.11,,,,1.8,,,,,,,,,0.1,,0.0,,,,,,,,,,,,,,,,,,,,,,4.5,,0.0,0.023,,,0.09,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,126.0,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.72,,,,,,,,,,,0.01,,,,,,,,,,,,0.2,,,,,,,0.026,,,,,,,,,,,83.9,,0.02,,,,,
"APPLES, GALA, WITH SKIN, RAW",,,,,,,,,1.26,,,,,,,,,6.42,,,,,,,,,,,,,,,,,0.0295,,,,,,,,,,,,,,,,,,,,,,,,2.73,0.0,7.48,,,,2.3,,,,,,,,,0.103,,0.0,,,,,,,,,,,,,,,,,,,,,,4.54,,0.0,0.0226,,,0.085,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7,,,,126.0,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.67,,,,,,,,,,,0.01,,,,,,,,,11.45,,,0.2,,,,,,,0.026,,,,,,,,,,,83.89,,0.0234,,,,,
"APPLES, GRANNY SMITH",,,,,,,,,0.12,,,,,,,,,8.0,,,,,,,,,,,,,,,,,0.035,,,,,,,,,,,,,,,,,,,,,,,,2.4,0.0,7.91,,,,2.48,,,,,,,,,0.11,,0.0,,,,,,,,,,,,,,,,,,,,,,4.8,,0.0,0.034,,,0.12,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,111.0,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.41,,,,,,,,,,,0.01,,,,,,,,,,,,0.2,,,,,,,0.028,,,,,,,,,,,85.0,,0.02,,,,,
"APPLES, GRANNY SMITH, WITH SKIN, RAW",,,,,,,,,0.124,,,,,,,,,7.91,,,,,,,,,,,,,,,,,0.0349,,,,,,,,,,,,,,,,,,,,,,,,2.45,0.0,6.01,,,,3.08,,,,,,,,,0.109,,0.0,,,,,,,,,,,,,,,,,,,,,,4.84,,0.0,0.0336,,,0.12,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.09,,,,111.0,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.61,,,,,,,,,,,0.01,,,,,,,,,10.7,,,0.2,,,,,,,0.028,,,,,,,,,,,85.05,,0.0225,,,,,
"APPLES, HONEYCRISP",,,,,,,,,0.12,,,,,,,,,4.0,,,,,,,,,,,,,,,,,0.024,,,,,,,,,,,,,,,,,,,,,,,,1.7,0.0,9.4,,,,2.46,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,4.4,,0.0,0.035,,,0.07,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,99.0,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.13,,,,,,,,,,,0.01,,,,,,,,,,,,0.0,,,,,,,0.037,,,,,,,,,,,85.5,,0.0,,,,,
"APPLES, HONEYCRISP, WITH SKIN, RAW",,,,,,,,,0.121,,,,,,,,,4.1,,,,,,,,,,,,,,,,,0.0239,,,,,,,,,,,,,,,,,,,,,,,,1.73,0.0,9.265,,,,2.345,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,4.39,,0.0,0.0346,,,0.07,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,98.7,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,2.14,,,,,,,,,,,0.01,,,,,,,,,13.75,,,0.0,,,,,,,0.037,,,,,,,,,,,85.53,,0.0,,,,,
"APPLES, RED DELICIOUS",,,,,,,,,0.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,0.023,,,,,,,,,,,,,,,,,,,,,,,,1.4,0.0,6.32,,,,2.52,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,4.3,,0.0,0.039,,,0.08,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,75.0,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.42,,,,,,,,,,,0.01,,,,,,,,,,,,0.1,,,,,,,0.021,,,,,,,,,,,85.2,,0.0,,,,,
"APPLES, RED DELICIOUS, WITH SKIN, RAW",,,,,,,,,0.0,,,,,,,,,4.74,,,,,,,,,,,,,,,,,0.0231,,,,,,,,,,,,,,,,,,,,,,,,1.43,0.0,7.39,,,,3.105,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,4.31,,0.0,0.0394,,,0.08,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.23,,,,75.1,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.6,,,,,,,,,,,0.01,,,,,,,,,12.095,,,0.1,,,,,,,0.021,,,,,,,,,,,85.18,,0.0,,,,,
"Almond butter, creamy",,,,,,,1.181,2.771,3.185,3.006,,,,,57.31,,,263.8,,,21.23666,,,,,,,,,,,,,,0.9746,,,0.4488,,0.0,0.02813,,,,645.456,602.510076,,,,34.69,12.61,4.253,,,,,,,9.718,42.46,,,0.07875,0.0,,7.419,,1.646,0.1725,,0.6388,0.04375,,4.108,0.93,,1.753,,,,,0.6463,,,,0.2471,,,,34.34,,,,,,,,267.8,,,2.135,0.1888,,3.909,,4.013,,,,,12.58,,,,,,,,,,,,,,,,,,,,,,,,,,1.384,506.9,,,,745.4,1.123,20.78734,,,,,,,,,,,3.298,,0.8191,,,,,,,,,,,,0.7938,1.063,0.9963,,,,,,,,,,,,,,,,,0.09456,0.7788,,,,,,,,,,,53.04,0.1963,0.76,1.094,,,,0.08375,,,,,,,16.67,,,0.0,1.751,,3.178,,,,,
"Almond milk, unsweetened, plain, refrigerated",,,,,,,0.02875,0.0925,0.595,0.0775,,,,,1.425,,,157.5,,,0.67075,,,,,,,,,,,,,,0.02688,,,0.00125,,,,,,,19.33,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.1375,,0.045,,,0.01375,0.0,,0.1247,0.02625,0.0,0.04625,,,,,0.03125,,,,,,,,,,,,,,,,8.249,,0.0,0.05642,0.00125,,0.08875,,0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0425,19.08,,,,49.27,0.03125,0.65625,,,,60.92,0.08333,,,,,,,,,,,,,,,,,,,,,0.02,59.22,,,,,,0.03857,,,,,,,,,,,0.005,0.01,,,,,,,,,,,1.558,0.00125,0.01875,0.0175,,,0.4492,0.0,,1.59,63.6,1.578,0.01015,,,0.0,0.0,0.0,96.52,,0.07661,,,,,
