description," Ergosta-5,7-dienol"," Ergosta-7,22-dienol",10-Formyl folic acid (10HCOFA),25-hydroxycholecalciferol,5-Formyltetrahydrofolic acid (5-HCOH4,5-methyl tetrahydrofolate (5-MTHF),Alanine,Arginine,Ash,Aspartic acid,Beta-glucan,Beta-sitostanol,Beta-sitosterol,Betaine,Biotin,"Boron, B",Brassicasterol,"Calcium, Ca",Campestanol,Campesterol,"Carbohydrate, by difference","Carbohydrate, by summation","Carotene, alpha","Carotene, beta","Carotene, gamma",Cholesterol,"Choline, free","Choline, from glycerophosphocholine","Choline, from phosphocholine","Choline, from phosphotidyl choline","Choline, from sphingomyelin","Choline, total",Citric acid,"Cobalt, Co","Copper, Cu","Cryptoxanthin, alpha","Cryptoxanthin, beta",Cysteine,Cystine,Daidzein,Daidzin,Delta-5-avenasterol,Delta-7-Stigmastenol,Energy,Energy (Atwater General Factors),Energy (Atwater Specific Factors),Ergosta-7-enol,Ergosterol,Ergothioneine,"Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated","Fatty acids, total saturated","Fatty acids, total trans","Fatty acids, total trans-dienoic","Fatty acids, total trans-monoenoic","Fatty acids, total trans-polyenoic","Fiber, insoluble","Fiber, soluble","Fiber, total dietary","Folate, total",Fructose,Galactose,Genistein,Genistin,Glucose,Glutamic acid,Glutathione,Glycine,Glycitin,High Molecular Weight Dietary Fiber (HMWDF),Histidine,Hydroxyproline,"Iodine, I","Iron, Fe",Isoleucine,Lactose,Leucine,Low Molecular Weight Dietary Fiber (LMWDF),Lutein,Lutein + zeaxanthin,Lycopene,Lysine,MUFA 12:1,MUFA 14:1 c,MUFA 15:1,MUFA 16:1 c,MUFA 17:1,MUFA 17:1 c,MUFA 18:1,MUFA 18:1 c,MUFA 20:1,MUFA 20:1 c,MUFA 22:1,MUFA 22:1 c,MUFA 22:1 n-11,MUFA 22:1 n-9,MUFA 24:1 c,"Magnesium, Mg",Malic acid,Maltose,"Manganese, Mn",Methionine,"Molybdenum, Mo",Niacin,"Nickel, Ni",Nitrogen,Oxalic acid,PUFA 18:2,PUFA 18:2 CLAs,PUFA 18:2 c,"PUFA 18:2 n-6 c,c",PUFA 18:3,PUFA 18:3 c,"PUFA 18:3 n-3 c,c,c (ALA)","PUFA 18:3 n-6 c,c,c",PUFA 18:3i,PUFA 18:4,PUFA 20:2 c,"PUFA 20:2 n-6 c,c",PUFA 20:3,PUFA 20:3 c,PUFA 20:3 n-3,PUFA 20:3 n-6,PUFA 20:3 n-9,PUFA 20:4,PUFA 20:4c,PUFA 20:5 n-3 (EPA),PUFA 20:5c,PUFA 22:2,PUFA 22:3,PUFA 22:4,PUFA 22:5 c,PUFA 22:5 n-3 (DPA),PUFA 22:6 c,PUFA 22:6 n-3 (DHA),Pantothenic acid,Phenylalanine,"Phosphorus, P",Phytoene,Phytofluene,"Phytosterols, other","Potassium, K",Proline,Protein,Pyruvic acid,Quinic acid,Raffinose,Retinol,Riboflavin,SFA 10:0,SFA 11:0,SFA 12:0,SFA 14:0,SFA 15:0,SFA 16:0,SFA 17:0,SFA 18:0,SFA 20:0,SFA 21:0,SFA 22:0,SFA 23:0,SFA 24:0,SFA 4:0,SFA 5:0,SFA 6:0,SFA 7:0,SFA 8:0,SFA 9:0,"Selenium, Se",Serine,"Sodium, Na",Specific Gravity,Stachyose,Starch,Stigmastadiene,Stigmasterol,Sucrose,"Sugars, Total","Sulfur, S",TFA 14:1 t,TFA 16:1 t,TFA 18:1 t,TFA 18:2 t,TFA 18:2 t not further defined,TFA 18:3 t,TFA 20:1 t,TFA 22:1 t,Thiamin,Threonine,"Tocopherol, beta","Tocopherol, delta","Tocopherol, gamma","Tocotrienol, alpha","Tocotrienol, beta","Tocotrienol, delta","Tocotrienol, gamma",Total Sugars,Total dietary fiber (AOAC 2011.25),Total fat (NLEA),Total lipid (fat),Tryptophan,Tyrosine,Valine,Verbascose,"Vitamin A, RAE",Vitamin B-12,Vitamin B-6,"Vitamin C, total ascorbic acid",Vitamin D (D2 + D3),"Vitamin D (D2 + D3), International Units",Vitamin D2 (ergocalciferol),Vitamin D3 (cholecalciferol),Vitamin D4,Vitamin E (alpha-tocopherol),Vitamin K (Dihydrophylloquinone),Vitamin K (Menaquinone-4),Vitamin K (phylloquinone),Water,Zeaxanthin,"Zinc, Zn",cis-Lutein/Zeaxanthin,cis-Lycopene,cis-beta-Carotene,trans-Lycopene,trans-beta-Carotene
"Beans, Dry, Carioca, 217 (0% moisture)",,,,,,,,,,,,,,,,1270.0,,198.0,,,,,,,,,,,,,,,,45.0,1.14,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,,,,,4.75,,,,,,,,,,,,,,,,,,,,,,,,165.0,,,1.92,,1430.0,,276.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457.0,,,,1500.0,,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.4,,,,,260.0,,,,,,,,,,,,,,,,,,,,,1.48,,,,,,,,,,,,,,,,,,0.0,,2.94,,,,,
"Beans, Dry, Carioca, 622 (0% moisture)",,,,,,,,,,,,,,,,1190.0,,195.0,,,,,,,,,,,,,,,,37.0,1.03,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,165.0,,,1.77,,1260.0,,178.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508.0,,,,1360.0,,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.8,,,,,264.0,,,,,,,,,,,,,,,,,,,,,1.43,,,,,,,,,,,,,,,,,,0.0,,3.44,,,,,
"Beans, Dry, Cranberry (0% moisture)",,,,,,,,,,,,,,,,1130.0,,152.0,,,,,,,,,,,,,,,,30.2,0.757,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,,,,,5.26,,,,,,,,,,,,,,,,,,,,,,,,166.0,,,1.78,,672.0,,77.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487.0,,,,1340.0,,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.3,,,,,198.0,,,,,,,,,,,,,,,,,,,,,1.23,,,,,,,,,,,,,,,,,,0.0,,3.03,,,,,
"Beans, Dry, Cranberry, 11F-8022 (0% moisture)",,,,,,,,,,,,,,,,1160.0,,161.0,,,,,,,,,,,,,,,,17.0,0.676,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,,,6.73,,,,,,,,,,,,,,,,,,,,,,,,164.0,,,1.53,,661.0,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526.0,,,,1350.0,,22.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.2,,,,,194.0,,,,,,,,,,,,,,,,,,,,,1.32,,,,,,,,,,,,,,,,,,0.0,,2.93,,,,,
"Beans, Dry, Cranberry, 11F-8131 (0% moisture)",,,,,,,,,,,,,,,,1050.0,,140.0,,,,,,,,,,,,,,,,30.0,0.692,,,,,,,,,,,,,,,,,,,,,,,,4.6,,,,,,,,,,,,,,,6.57,,,,,,,,,,,,,,,,,,,,,,,,170.0,,,2.05,,491.0,,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533.0,,,,1420.0,,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.9,,,,,197.0,,,,,,,,,,,,,,,,,,,,,1.03,,,,,,,,,,,,,,,,,,0.0,,2.91,,,,,
"Beans, Dry, Cranberry, 378 (0% moisture)",,,,,,,,,,,,,,,,1090.0,,149.0,,,,,,,,,,,,,,,,42.0,0.809,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,3.89,,,,,,,,,,,,,,,,,,,,,,,,164.0,,,1.71,,726.0,,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437.0,,,,1440.0,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.2,,,,,193.0,,,,,,,,,,,,,,,,,,,,,1.33,,,,,,,,,,,,,,,,,,0.0,,3.01,,,,,
"Beans, Dry, Cranberry, 750 (0% moisture)",,,,,,,,,,,,,,,,1210.0,,160.0,,,,,,,,,,,,,,,,32.0,0.851,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,3.85,,,,,,,,,,,,,,,,,,,,,,,,164.0,,,1.85,,809.0,,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453.0,,,,1150.0,,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.8,,,,,207.0,,,,,,,,,,,,,,,,,,,,,1.24,,,,,,,,,,,,,,,,,,0.0,,3.26,,,,,
"Beans, Dry, Dark Red Kidney (0% moisture)",,,,,,,,,,,,,,,,1100.0,,98.0,,,,,,,,,,,,,,,,30.0,0.865,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,,,,,6.58,,,,,,,,,,,,,,,,,,,,,,,,164.0,,,1.67,,572.0,,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,612.0,,,,1490.0,,25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.7,,,,,241.0,,,,,,,,,,,,,,,,,,,,,1.31,,,,,,,,,,,,,,,,,,0.0,,3.29,,,,,
"Beans, Dry, Dark Red Kidney, 11F-8040 (0% moisture)",,,,,,,,,,,,,,,,1120.0,,94.0,,,,,,,,,,,,,,,,32.0,0.897,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,6.75,,,,,,,,,,,,,,,,,,,,,,,,171.0,,,1.76,,662.0,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,607.0,,,,1470.0,,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.6,,,,,248.0,,,,,,,,,,,,,,,,,,,,,1.27,,,,,,,,,,,,,,,,,,0.0,,3.33,,,,,
"Beans, Dry, Dark Red Kidney, 11F-8074 (0% moisture)",,,,,,,,,,,,,,,,1130.0,,98.0,,,,,,,,,,,,,,,,27.0,0.877,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,6.93,,,,,,,,,,,,,,,,,,,,,,,,162.0,,,1.69,,559.0,,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667.0,,,,1400.0,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.9,,,,,268.0,,,,,,,,,,,,,,,,,,,,,1.45,,,,,,,,,,,,,,,,,,0.0,,3.65,,,,,
"Beans, Dry, Dark Red Kidney, 11F-8130 (0% moisture)",,,,,,,,,,,,,,,,1030.0,,103.0,,,,,,,,,,,,,,,,30.0,0.802,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,6.07,,,,,,,,,,,,,,,,,,,,,,,,154.0,,,1.6,,522.0,,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,593.0,,,,1510.0,,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.2,,,,,227.0,,,,,,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,0.0,,3.02,,,,,
"Beans, Dry, Dark Red Kidney, 11F-8132 (0% moisture)",,,,,,,,,,,,,,,,1120.0,,99.0,,,,,,,,,,,,,,,,31.0,0.883,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,,,,,6.58,,,,,,,,,,,,,,,,,,,,,,,,169.0,,,1.63,,545.0,,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581.0,,,,1580.0,,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.8,,,,,222.0,,,,,,,,,,,,,,,,,,,,,1.12,,,,,,,,,,,,,,,,,,0.0,,3.15,,,,,
"Beans, Dry, Flor de Mayo (0% moisture)",,,,,,,,,,,,,,,,1150.0,,180.0,,,,,,,,,,,,,,,,39.5,0.864,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,4.47,,,,,,,,,,,,,,,,,,,,,,,,182.0,,,1.7,,340.0,,172.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439.0,,,,1490.0,,23.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,212.0,,,,,,,,,,,,,,,,,,,,,0.86,,,,,,,,,,,,,,,,,,0.0,,3.42,,,,,
"Beans, Dry, Flor de Mayo, 443 (0% moisture)",,,,,,,,,,,,,,,,1180.0,,182.0,,,,,,,,,,,,,,,,43.0,0.92,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,,,,,,,,,,,,,4.65,,,,,,,,,,,,,,,,,,,,,,,,189.0,,,1.76,,340.0,,192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451.0,,,,1520.0,,23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.6,,,,,225.0,,,,,,,,,,,,,,,,,,,,,0.87,,,,,,,,,,,,,,,,,,0.0,,3.49,,,,,
"Beans, Dry, Flor de Mayo, 823 (0% moisture)",,,,,,,,,,,,,,,,1110.0,,179.0,,,,,,,,,,,,,,,,36.0,0.809,,,,,,,,,,,,,,,,,,,,,,,,4.1,,,,,,,,,,,,,,,4.29,,,,,,,,,,,,,,,,,,,,,,,,174.0,,,1.63,,339.0,,151.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427.0,,,,1460.0,,23.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.3,,,,,200.0,,,,,,,,,,,,,,,,,,,,,0.85,,,,,,,,,,,,,,,,,,0.0,,3.35,,,,,
"Beans, Dry, Great Northern (0% moisture)",,,,,,,,,,,,,,,,1250.0,,192.0,,,,,,,,,,,,,,,,51.2,1.08,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,,,,,5.48,,,,,,,,,,,,,,,,,,,,,,,,176.0,,,1.9,,557.0,,181.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519.0,,,,1520.0,,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.9,,,,,227.0,,,,,,,,,,,,,,,,,,,,,1.24,,,,,,,,,,,,,,,,,,0.0,,3.45,,,,,
"Beans, Dry, Great Northern, 11F-8008 (0% moisture)",,,,,,,,,,,,,,,,1180.0,,157.0,,,,,,,,,,,,,,,,39.0,0.925,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,,,7.11,,,,,,,,,,,,,,,,,,,,,,,,174.0,,,1.88,,227.0,,119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552.0,,,,1630.0,,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.5,,,,,231.0,,,,,,,,,,,,,,,,,,,,,1.47,,,,,,,,,,,,,,,,,,0.0,,2.94,,,,,
"Beans, Dry, Great Northern, 11F-8010 (0% moisture)",,,,,,,,,,,,,,,,1170.0,,148.0,,,,,,,,,,,,,,,,33.0,0.941,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,6.3,,,,,,,,,,,,,,,,,,,,,,,,179.0,,,1.66,,342.0,,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528.0,,,,1500.0,,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1,,,,,209.0,,,,,,,,,,,,,,,,,,,,,1.36,,,,,,,,,,,,,,,,,,0.0,,3.26,,,,,
"Beans, Dry, Great Northern, 11F-8025 (0% moisture)",,,,,,,,,,,,,,,,1120.0,,150.0,,,,,,,,,,,,,,,,45.0,0.915,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,7.9,,,,,,,,,,,,,,,,,,,,,,,,163.0,,,1.9,,607.0,,155.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636.0,,,,1460.0,,26.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.5,,,,,254.0,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,0.0,,3.91,,,,,
"Beans, Dry, Great Northern, 11F-8051 (0% moisture)",,,,,,,,,,,,,,,,1020.0,,197.0,,,,,,,,,,,,,,,,37.0,0.773,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,6.69,,,,,,,,,,,,,,,,,,,,,,,,153.0,,,1.67,,261.0,,126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573.0,,,,1070.0,,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.8,,,,,234.0,,,,,,,,,,,,,,,,,,,,,1.08,,,,,,,,,,,,,,,,,,0.0,,3.2,,,,,
"Beans, Dry, Great Northern, 11F-8052 (0% moisture)",,,,,,,,,,,,,,,,1100.0,,243.0,,,,,,,,,,,,,,,,23.0,0.987,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,7.26,,,,,,,,,,,,,,,,,,,,,,,,180.0,,,1.77,,228.0,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601.0,,,,1360.0,,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.6,,,,,224.0,,,,,,,,,,,,,,,,,,,,,1.23,,,,,,,,,,,,,,,,,,0.0,,3.6,,,,,
"Beans, Dry, Great Northern, 11F-8053 (0% moisture)",,,,,,,,,,,,,,,,1080.0,,180.0,,,,,,,,,,,,,,,,36.0,0.907,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,,,7.04,,,,,,,,,,,,,,,,,,,,,,,,172.0,,,2.03,,184.0,,116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594.0,,,,1470.0,,23.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5,,,,,232.0,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,0.0,,3.58,,,,,
"Beans, Dry, Great Northern, 11F-8060 (0% moisture)",,,,,,,,,,,,,,,,1060.0,,176.0,,,,,,,,,,,,,,,,33.0,1.06,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,6.1,,,,,,,,,,,,,,,,,,,,,,,,193.0,,,1.61,,200.0,,137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,669.0,,,,1410.0,,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.7,,,,,237.0,,,,,,,,,,,,,,,,,,,,,1.09,,,,,,,,,,,,,,,,,,0.0,,3.98,,,,,
"Beans, Dry, Great Northern, 11F-8063 (0% moisture)",,,,,,,,,,,,,,,,1180.0,,187.0,,,,,,,,,,,,,,,,44.0,1.06,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,,,,,6.89,,,,,,,,,,,,,,,,,,,,,,,,195.0,,,2.32,,205.0,,129.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,619.0,,,,1450.0,,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5,,,,,223.0,,,,,,,,,,,,,,,,,,,,,1.29,,,,,,,,,,,,,,,,,,0.0,,3.5,,,,,
"Beans, Dry, Great Northern, 11F-8067 (0% moisture)",,,,,,,,,,,,,,,,1140.0,,183.0,,,,,,,,,,,,,,,,26.0,0.912,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,7.34,,,,,,,,,,,,,,,,,,,,,,,,188.0,,,1.58,,566.0,,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638.0,,,,1370.0,,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.2,,,,,233.0,,,,,,,,,,,,,,,,,,,,,1.17,,,,,,,,,,,,,,,,,,0.0,,4.11,,,,,
"Beans, Dry, Great Northern, 11F-8068 (0% moisture)",,,,,,,,,,,,,,,,899.0,,154.0,,,,,,,,,,,,,,,,32.0,1.02,,,,,,,,,,,,,,,,,,,,,,,,4.6,,,,,,,,,,,,,,,7.16,,,,,,,,,,,,,,,,,,,,,,,,195.0,,,1.86,,492.0,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572.0,,,,1390.0,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.3,,,,,214.0,,,,,,,,,,,,,,,,,,,,,1.13,,,,,,,,,,,,,,,,,,0.0,,3.37,,,,,
"Beans, Dry, Great Northern, 11F-8077 (0% moisture)",,,,,,,,,,,,,,,,1070.0,,237.0,,,,,,,,,,,,,,,,46.0,1.04,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,,,7.49,,,,,,,,,,,,,,,,,,,,,,,,199.0,,,2.15,,595.0,,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601.0,,,,1430.0,,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.2,,,,,248.0,,,,,,,,,,,,,,,,,,,,,1.16,,,,,,,,,,,,,,,,,,0.0,,3.62,,,,,
"Beans, Dry, Great Northern, 11F-8085 (0% moisture)",,,,,,,,,,,,,,,,1170.0,,160.0,,,,,,,,,,,,,,,,43.0,1.04,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,7.02,,,,,,,,,,,,,,,,,,,,,,,,187.0,,,1.87,,296.0,,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.0,,,,1390.0,,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.6,,,,,224.0,,,,,,,,,,,,,,,,,,,,,1.09,,,,,,,,,,,,,,,,,,0.0,,3.76,,,,,
"Beans, Dry, Great Northern, 11F-8087 (0% moisture)",,,,,,,,,,,,,,,,1140.0,,186.0,,,,,,,,,,,,,,,,44.0,0.982,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,,,,,7.17,,,,,,,,,,,,,,,,,,,,,,,,166.0,,,1.9,,513.0,,145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608.0,,,,1360.0,,26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,,,,,252.0,,,,,,,,,,,,,,,,,,,,,1.28,,,,,,,,,,,,,,,,,,0.0,,3.54,,,,,
"Beans, Dry, Great Northern, 11F-8090 (0% moisture)",,,,,,,,,,,,,,,,971.0,,137.0,,,,,,,,,,,,,,,,31.0,0.97,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,5.42,,,,,,,,,,,,,,,,,,,,,,,,175.0,,,1.58,,252.0,,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598.0,,,,1320.0,,23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.6,,,,,211.0,,,,,,,,,,,,,,,,,,,,,1.03,,,,,,,,,,,,,,,,,,0.0,,3.39,,,,,
"Beans, Dry, Great Northern, 11F-8092 (0% moisture)",,,,,,,,,,,,,,,,1130.0,,166.0,,,,,,,,,,,,,,,,42.0,0.923,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,,,,,6.76,,,,,,,,,,,,,,,,,,,,,,,,162.0,,,1.82,,247.0,,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,611.0,,,,1440.0,,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.2,,,,,234.0,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,0.0,,3.72,,,,,
"Beans, Dry, Great Northern, 11F-8093 (0% moisture)",,,,,,,,,,,,,,,,1100.0,,192.0,,,,,,,,,,,,,,,,62.0,1.01,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,,,7.35,,,,,,,,,,,,,,,,,,,,,,,,184.0,,,1.96,,250.0,,126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,641.0,,,,1340.0,,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,227.0,,,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,0.0,,3.4,,,,,
"Beans, Dry, Great Northern, 11F-8097 (0% moisture)",,,,,,,,,,,,,,,,846.0,,143.0,,,,,,,,,,,,,,,,25.0,0.867,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,,,6.34,,,,,,,,,,,,,,,,,,,,,,,,158.0,,,1.34,,266.0,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590.0,,,,1060.0,,23.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.4,,,,,222.0,,,,,,,,,,,,,,,,,,,,,1.06,,,,,,,,,,,,,,,,,,0.0,,3.84,,,,,
"Beans, Dry, Great Northern, 11F-8110 (0% moisture)",,,,,,,,,,,,,,,,1100.0,,197.0,,,,,,,,,,,,,,,,35.0,0.945,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,7.01,,,,,,,,,,,,,,,,,,,,,,,,183.0,,,1.69,,304.0,,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,583.0,,,,1510.0,,24.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.3,,,,,212.0,,,,,,,,,,,,,,,,,,,,,1.14,,,,,,,,,,,,,,,,,,0.0,,3.0,,,,,
"Beans, Dry, Great Northern, 11F-8113 (0% moisture)",,,,,,,,,,,,,,,,975.0,,170.0,,,,,,,,,,,,,,,,46.0,0.769,,,,,,,,,,,,,,,,,,,,,,,,4.6,,,,,,,,,,,,,,,6.62,,,,,,,,,,,,,,,,,,,,,,,,152.0,,,1.71,,322.0,,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539.0,,,,1530.0,,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,,,,,213.0,,,,,,,,,,,,,,,,,,,,,1.24,,,,,,,,,,,,,,,,,,0.0,,2.64,,,,,
"Beans, Dry, Great Northern, 11F-8125 (0% moisture)",,,,,,,,,,,,,,,,1040.0,,172.0,,,,,,,,,,,,,,,,59.0,0.854,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,,,6.95,,,,,,,,,,,,,,,,,,,,,,,,187.0,,,1.96,,507.0,,138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608.0,,,,1540.0,,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.6,,,,,221.0,,,,,,,,,,,,,,,,,,,,,0.93,,,,,,,,,,,,,,,,,,0.0,,3.33,,,,,
"Beans, Dry, Great Northern, 11F-8128 (0% moisture)",,,,,,,,,,,,,,,,1090.0,,214.0,,,,,,,,,,,,,,,,41.0,1.03,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,,,6.52,,,,,,,,,,,,,,,,,,,,,,,,196.0,,,2.09,,257.0,,106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570.0,,,,1540.0,,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.8,,,,,199.0,,,,,,,,,,,,,,,,,,,,,1.15,,,,,,,,,,,,,,,,,,0.0,,3.02,,,,,
